0,1,2,3,4,5,6
5.80E-06,8.06E-06,1.95E-05,8.34E-06,1.14E-05,5.08E-05,7.61E-06
2.43E-06,6.52E-06,5.22E-06,1.57E-05,9.92E-06,2.05E-05,7.23E-06
9.23E-06,4.68E-06,8.64E-06,6.67E-06,8.78E-06,2.83E-05,6.90E-06
5.24E-06,4.86E-06,1.04E-05,4.95E-06,1.01E-05,2.95E-05,8.37E-06
3.87E-06,9.58E-06,6.80E-06,1.23E-05,1.94E-05,3.17E-05,5.68E-06
5.83E-06,5.81E-06,9.74E-06,9.13E-06,1.01E-05,3.95E-05,5.47E-06
3.48E-06,3.40E-06,4.07E-06,8.78E-06,1.76E-05,1.71E-05,4.90E-06
1.83E-06,5.04E-06,2.93E-06,7.78E-06,1.25E-05,1.70E-05,3.94E-06
9.33E-06,7.11E-06,8.50E-06,1.05E-05,1.45E-05,2.34E-05,1.07E-05
1.58E-06,2.82E-06,5.19E-06,4.65E-06,6.56E-06,1.48E-05,4.60E-06
2.50E-06,4.85E-06,5.14E-06,8.50E-06,1.08E-05,1.16E-05,4.97E-06
2.87E-06,5.57E-06,6.16E-06,1.03E-05,9.83E-06,1.95E-05,4.41E-06
2.51E-05,3.25E-05,2.15E-05,2.83E-05,2.11E-05,2.52E-05,1.01E-05
9.51E-06,3.97E-06,5.36E-06,1.32E-05,2.61E-05,1.43E-05,6.38E-06
4.39E-05,0.000135648,6.60E-05,0.000143859,5.81E-05,4.30E-05,4.13E-05
0.001721236,0.006158724,0.00348529,0.008816526,0.006755288,0.007066442,0.002783884
5.50E-05,0.000123329,0.000121498,0.000235195,0.000581712,0.000435449,8.32E-05
0.000150259,0.005411716,0.000230201,0.000234955,0.000336608,0.000321123,0.000212483
1.64E-05,0.000945201,5.06E-05,6.58E-05,6.16E-05,2.95E-05,3.57E-05
4.19E-06,1.18E-05,1.15E-05,1.48E-05,1.32E-05,2.04E-05,4.18E-06
3.55E-06,1.83E-05,7.93E-06,1.44E-05,1.73E-05,9.40E-06,3.74E-06
1.55E-05,0.000259422,9.33E-06,1.06E-05,8.91E-06,1.85E-05,1.53E-05
2.35E-06,5.72E-06,7.89E-06,2.26E-05,2.04E-05,3.05E-05,6.74E-06
2.47E-06,5.47E-05,8.17E-06,9.87E-06,2.18E-05,4.28E-05,6.87E-06
6.91E-06,1.32E-05,1.50E-05,1.66E-05,1.96E-05,1.61E-05,5.99E-06
